Вятська вулиця;493;f
Гагаріна проспект;494;f
Гагаріна вулиця;495;f
Грайворонська вулиця;496;f
Галинська вулиця;497;f
Нікітіної Галини вулиця;498;f
Галушкинська вулиця;499;f
Гамарника вулиця;500;f
Ганни вулиця;501;f
Гарібальді вулиця;502;f
Гарнізонна вулиця;503;f
Гаршина вулиця;504;f
Гастелло вулиця;505;f
Гацева вулиця;506;f
Гвардійська вулиця;507;f
Гвардійський проїзд;508;f
Гвардійський провулок;509;f
Гвардійців-залізничників вулиця;510;f
Гвардійців-широнінців вулиця;511;f
Генічеська вулиця;512;f
Георгіївська вулиця;513;f
Герасимівська вулиця;514;f
Герасимівський провулок;515;f
Героїв Сталінграда проспект;516;f
Героїв Праці вулиця;517;f
Герцена провулок;518;f
Герцена вулиця;519;f
Гіївська вулиця;520;f
2-й Гіївський узвіз;521;t
Гіршмана вулиця;522;f
Гладкий провулок;523;f
Гладківський провулок;524;f
Глазунова провулок;525;f
Глібівська вулиця;526;f
Глінки вулиця;527;f
Глухий провулок;528;f
Гнедича провулок;529;f
Гоголя вулиця;530;f
Голубівська вулиця;531;f
Голубівський провулок;532;f
Гомельська вулиця;533;f
Гордієнківська вулиця;534;f
Горійська вулиця;535;f
Горлівська вулиця;536;f
Горлівський провулок;537;f
Гірська вулиця;538;f
Горнинська вулиця;539;f
Горнинський провулок;540;f
Гірський в’їзд;541;f
Гірський провулок;542;f
Міськрадська вулиця;543;f
Горького вулиця;544;f
Горянська вулиця;545;f
Гостинна вулиця;546;f
Готнянський провулок;547;f
Громадянська вулиця;548;f
Громадянський провулок;549;f
Гранітний провулок;550;f
Гребенюківська вулиця;551;f
Греківська вулиця;552;f
Гречаний провулок;553;f
Грибоєдова в’їзд;554;f
Грибоєдова вулиця;555;f
Рудика Григорія вулиця;556;f
Григорівська вулиця;557;f
Григорівський провулок;558;f
Гризодубової провулок;559;f
Гризодубової вулиця;560;f
Грицевця Сергія вулиця;561;f
Грозненська вулиця;562;f
Грузинська вулиця;563;f
Груповий провулок;564;f
Губенка вулиця;565;f
Губкомівська вулиця;566;f
Гуданова вулиця;567;f
Гудаутський провулок;568;f
Гуківська вулиця;569;f
Гур’ївська вулиця;570;f
Гур’ївський проїзд;571;f
Гур’ївський провулок;572;f
Гутянська вулиця;573;f
Гутянський провулок;574;f
Дагестанська вулиця;575;f
Дагестанський провулок;576;f
Далекосхідна вулиця;577;f
Дальній провулок;578;f
Данилевського вулиця;579;f
Данилівський узвіз;580;f
Великий Данилівський провулок;581;f
Дарвіна вулиця;582;f
Даргомижського вулиця;583;f
Даргомижського в’їзд;584;f
Дар’яльська вулиця;585;f
Дацька вулиця;586;f
Дачна вулиця;587;f
Дачний провулок;588;f
Двінська вулиця;589;f
Двінський провулок;590;f
Двінський в’їзд;591;f
Курська вулиця;592;f
Дебальцівська вулиця;593;f
Демченка вулиця;594;f
Делегатська вулиця;595;f
Делегатський провулок;596;f
Бєдного Дем’яна вулиця;597;f
Деповська вулиця;598;f
Деповський провулок;599;f
Депутатська вулиця;600;f
Депутатський в’їзд;601;f
Дербентська вулиця;602;f
Дербентський провулок;603;f
Дергачівська вулиця;604;f
Державінська вулиця;606;f
Деснянський провулок;607;f
Джанкойська вулиця;608;f
Джутова вулиця;609;f
Джутовий провулок;610;f
Дзюби проспект;611;f
Дивногірський провулок;612;f
Дідро вулиця;613;f
Дизельна вулиця;614;f
Диканівська вулиця;615;f
Динамічний провулок;616;f
Динамівська вулиця;617;f
Диспетчерська вулиця;618;f
Диспетчерський провулок;619;f
Дмитрівська вулиця;620;f
Донського Дмитра вулиця;621;f
Клапцова Дмитра вулиця;622;f
Дніпровська вулиця;623;f
Дніпропетровська вулиця;624;f
Дніпропетровський провулок;625;f
Дніпропетровський проїзд;626;f
Дністровська вулиця;627;f
Дністровський провулок;628;f
Добродєтського вулиця;629;f
Добролюбова вулиця;630;f
Доватора вулиця;631;f
Довгалівська вулиця;632;f
Довгалівський провулок;633;f
Довженка вулиця;634;f
Докучаєва провулок;635;f
Докучаєва вулиця;636;f
Довгожданий провулок;637;f
Долинний провулок;638;f
Долинський провулок;639;f
Донбасівський провулок;640;f
Донецька вулиця;641;f
Донецька вулиця;642;f
Донецький провулок;643;f
Донський провулок;644;f
Дорожня вулиця;645;f
Дорохівський провулок;646;f
Дорошенківська вулиця;647;f
Дорошенківський провулок;648;f
Досвідний провулок;649;f
Достоєвського вулиця;650;f
Достоєвського в’їзд;651;f
Бондаренка вулиця;652;f
Дружби вулиця;653;f
Дружби Народів вулиця;654;f
Дружна вулиця;655;f
Дудківська вулиця;656;f
Дунаєвського вулиця;657;f
Дунайська вулиця;658;f
Морозова Павлика вулиця;659;f
Єйський провулок;660;f
Оленинська вулиця;661;f
Стасової Олени вулиця;662;f
Єлецький провулок;663;f
Єлецький провулок;664;f
Єлизаветинська вулиця;665;f
Єлізарова вулиця;666;f
Омельянівський провулок;667;f
Єнакіївська вулиця;668;f
Єнакіївський провулок;669;f
Єнісейська вулиця;670;f
Єрмаківська вулиця;671;f
Мічуріна в’їзд;672;f
Желєзноводська вулиця;673;f
Залізничний проїзд;674;f
Залізнична вулиця;675;f
Залізнична вулиця;676;f
Зарічна вулиця;677;f
Залізничний провулок;678;f
Желєзнякова вулиця;679;f
Желябова провулок;680;f
Жилівський провулок;681;f
Жилярді вулиця;682;f
Житня вулиця;683;f
Жихарська вулиця;684;f
Жихарський в’їзд;685;f
Жмеринська вулиця;686;f
Жуковського проспект;687;f
Жуковського вулиця;688;f
Журавлівська набережна;689;f
Жутівська вулиця;690;f
Забайкальська вулиця;691;f
Забайкальський провулок;692;f
Заводу Комсомолець вулиця;693;f
Заводська вулиця;694;f
Заводський провулок;695;f
Заміська вулиця;696;f
Заміський провулок;697;f
Заміський в’їзд;698;f
Загорський провулок;699;f
Заліська вулиця;700;f
Залютинський в’їзд;701;f
Залютинський провулок;702;f
Західна вулиця;704;f
Зачепилівська вулиця;705;f
Зоряна вулиця;706;f
Звенигородська вулиця;707;f
Звенигородський провулок;708;f
1-й Звенигородський в’їзд;709;t
Здоров’я провулок;710;f
Зелена вулиця;711;f
Зеленоградська вулиця;712;f
Зеленодільська вулиця;713;f
Зеленодільський в’їзд;714;f
Зеленського вулиця;715;f
Зелений провулок;716;f
Зелений Гай вулиця;717;f
Земівський провулок;718;f
Зернова вулиця;719;f
Зміївська вулиця;720;f
Зміївський в’їзд;721;f
Золотарівський провулок;722;f
Золотий провулок;723;f
Золочівська вулиця;724;f
Зубарєва О. вулиця;725;f
Височиненка Івана вулиця;726;f
Каркача Івана провулок;727;f
Каркача Івана проїзд;728;f
Каркача Івана бульвар;729;f
Кулика Івана в’їзд;730;f
Минайленка Івана вулиця;731;f
Іванова вулиця;732;f
Іванівська вулиця;733;f
Іванівський провулок;734;f
Іжевська вулиця;735;f
Іжевський провулок;736;f
Достатку провулок;737;f
Достатку вулиця;738;f
Смарагдовий провулок;739;f
Ізюмська вулиця;740;f
Іллінська вулиця;741;f
Ілліча провулок;742;f
Ілліча вулиця;743;f
Ілліча проспект;744;f
Ільменська вулиця;745;f
Ініціативна вулиця;746;f
Інтернаціоналу провулок;747;f
Інтернаціональна вулиця;748;f
Інтернаціоналу вулиця;749;f
Іртиська вулиця;750;f
Іртиський провулок;751;f
Ісаївська вулиця;752;f
Ісаївський провулок;753;f
Іскринська вулиця;754;f
Іскринська провулок;755;f
Виконкомівський провулок;756;f
Істомінська вулиця;757;f
Кабардинська вулиця;758;f
Казахстанська вулиця;759;f
Калініна вулиця;760;f
Калініна в’їзд;761;f
Калінінградська вулиця;762;f
Калінінградський провулок;763;f
Калузька вулиця;764;f
Калузький провулок;765;f
Каляєва провулок;766;f
Кам’янець-Подільська вулиця;767;f
Кам’янець-Подільський провулок;768;f
Кемеровська вулиця;769;f
Камська вулиця;770;f
Камчаніновська вулиця;771;f
Комишанська вулиця;772;f
Камишева Івана вулиця;773;f
Кандаурова вулиця;774;f
Кантемира провулок;775;f
Капустянська вулиця;776;f
Карагандинська вулиця;777;f
Карамзіна вулиця;778;f
Каразіна вулиця;779;f
Карачівський провулок;780;f
Карачівське шосе;781;f
Карла Лібкнехта вулиця;782;f
