Найменування зупинки,Попередня назва,Адреса зупинки,Розташування зупинки,Напрямок руху,Район,Автобус,Тролейбус,Трамвай
28-й мікрорайон,28 м/р,"П'ятдесятиріччя СРСР просп., 12",П'ятдесятиріччя СРСР просп.,на Салтівку,Комінт.,●,●,
28-й мікрорайон,28 м/р,"Героїв Сталінграда просп., 136д",Героїв Сталінграда просп.,до вул. 12 Квітня,Комінт.,●,●,
28-й мікрорайон,28 м/р,"Героїв Сталінграда просп., 161",Героїв Сталінграда просп.,розворотне коло,Комінт.,●,●,
27-й мікрорайон,27 м/р,"Героїв Сталінграда просп., 146",Героїв Сталінграда просп.,до вул. 12 Квітня,Комінт.,●,●,
27-й мікрорайон,27 м/р,"Героїв Сталінграда просп., 165",Героїв Сталінграда просп.,до центру,Комінт.,●,●,
Торговельний комплекс,Торгівельний комплекс,"Героїв Сталінграда просп., 173",Героїв Сталінграда просп.,до центру,Комінт.,●,●,
Торговельний комплекс,Торгівельний комплекс,"Героїв Сталінграда просп., 154",Героїв Сталінграда просп.,до вул. 12 Квітня,Комінт.,●,●,
Інфекційна лікарня,Інфекційна лікарня,"Героїв Сталінграда просп., 160",Героїв Сталінграда просп.,до вул. 12 Квітня,Комінт.,●,●,
Інфекційна лікарня,Інфекційна лікарня,"Героїв Сталінграда просп., 181",Героїв Сталінграда просп.,до центру,Комінт.,●,●,
Станція юних туристів,станція юних туристів,"Танкопія вул., 15",Танкопія вул.,до б-ру Б. Хмельницького,Фрунз.,●,●,
вулиця Харківських Дивізій ,вул. Танкопія,"Танкопія вул., 25",Танкопія вул.,до б-ру Б. Хмельницького,Фрунз.,●,●,
вулиця Танкопія,вул. Танкопія,Жукова просп.,Жукова просп.,до 28 м/р,Комінт.,●,●,
29-й мікрорайон,29 м/р,"Жукова просп., 10",Жукова просп.,до 28 м/р,Комінт.,●,●,
29-й мікрорайон,29 м/р,"Жукова просп., 31",Жукова просп.,до ст.м.  «М. Жукова»,Комінт.,●,●,
вулиця Слинька,вул. Слинька,"Жукова просп., 39",Жукова просп.,до ст.м.  «М. Жукова»,Комінт.,●,●,
вулиця Слинька,вул. Слинька,"Жукова просп., 14",Жукова просп.,до 28 м/р,Комінт.,●,●,
проспект Героїв Сталінграда,просп. Героїв Сталінграду,"Жукова просп., 18в",Жукова просп.,до 28 м/р,Комінт.,●,●,
проспект Маршала Жукова,просп. Маршала Жукова,"Жукова просп., 55",Жукова просп.,до ст.м.  «М. Жукова»,Комінт.,●,●,
провулок Електромеханічний ,пров. Електромеханічний ,"Московський просп., 130/1",Московський просп.,до 25 м/р,Комінт.,●,●,
вулиця Соїча,вул. Соїча,"Московський просп., 124",Московський просп.,до 25 м/р,Комінт.,●,●,
провулок Електромеханічний ,пров. Електромеханічний ,"Московський просп., 197",Московський просп.,до центру,Моск.,●,●,
вулиця Тарасівська,вул. Тарасівська,"Московський просп., 102/112",Московський просп.,до 25 м/р,Комінт.,●,●,
"станція метро ""Площа Повстання""",ПК ХЕМЗ,Броненосця Потьомкін вул.,Броненосця Потьомкін вул.,висадка,Моск.,●,●,
"станція метро ""Площа Повстання""",Кінний ринок,Броненосця Потьомкін вул.,Броненосця Потьомкін вул.,до 25 м/р,Моск.,●,●,
провулок Брянський,пров. Брянський,"Московський просп., 96а",Броненосця Потьомкін вул.,до 25 м/р,Комінт.,●,●,
проїзд Садовий ,Садовий проїзд,"П'ятдесятиріччя СРСР просп., 16",П'ятдесятиріччя СРСР просп.,на Салтівку,Комінт.,●,●,
вулиця Киргизька,вул. Киргизька,"П'ятдесятиріччя СРСР просп., 20",П'ятдесятиріччя СРСР просп.,на Салтівку,Комінт.,●,●,
